country,Unnamed: 0,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations,percentage_vaccinated,tested_positive,percentage_fully_vaccinated
Ukraine,213,Europe,5006460,108449.0,,,177.0,115771,2508.0,19521252.0,451415.0,43244553,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",15729617.0,36.19,15221792.0,35.02,72.89,31683310.0,73.27,25.65,35.2
United Arab Emirates,214,Asia,902484,2302.0,886128.0,14054.0,,89240,228.0,159103283.0,15732628.0,10112950,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",9890318.0,98.99,9603499.0,96.12,244.86,24463702.0,100.0,0.57,94.96
Uruguay,215,South America,902540,7213.0,892434.0,2893.0,18.0,258152,2063.0,6114822.0,1749015.0,3496151,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2972777.0,85.3,2842482.0,81.56,230.34,8027751.0,100.0,14.76,81.3
United States of America,216,North America,84209473,1026646.0,81244260.0,1938567.0,1941.0,251659,3068.0,1016882505.0,3038939.0,334617623,"Johnson&Johnson, Moderna, Pfizer/BioNTech",255362450.0,76.91,217498967.0,65.51,168.72,560181791.0,100.0,8.28,65.0
Uzbekistan,217,Asia,238802,1637.0,236974.0,191.0,23.0,6947,48.0,1377915.0,40088.0,34372515,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik Light, Sputnik V, ZF2001",18633103.0,54.91,13852504.0,40.82,130.18,44177104.0,100.0,17.33,40.3
Vanuatu,218,Australia/Oceania,8457,14.0,7974.0,469.0,,26386,44.0,24976.0,77926.0,320508,Oxford/AstraZeneca,114284.0,36.34,85180.0,27.09,63.43,199464.0,62.23,33.86,26.58
Venezuela,219,South America,522921,5711.0,516170.0,1040.0,230.0,18487,202.0,3359014.0,118752.0,28285909,"Abdala, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V",22157232.0,77.19,14287370.0,49.77,131.9,37860994.0,100.0,15.57,50.51
Vietnam,220,Asia,10696630,43065.0,9355040.0,1298525.0,340.0,108080,435.0,85811485.0,867048.0,98969721,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",79947189.0,81.44,77754108.0,79.2,206.93,203144374.0,100.0,12.47,78.56
Wallis And Futuna Islands,221,Australia/Oceania,454,7.0,438.0,9.0,,41755,644.0,20508.0,1886140.0,10873,,,,,,,,,2.21,
W. Sahara,222,Africa,10,1.0,9.0,0.0,,16,2.0,,,624681,,,,,,,,,,
Yemen,223,Asia,11819,2149.0,9009.0,661.0,23.0,381,69.0,265253.0,8543.0,31049015,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",643501.0,2.11,404781.0,1.33,2.65,807502.0,2.6,4.46,1.3
Zambia,224,Africa,320591,3983.0,315997.0,611.0,,16575,206.0,3452554.0,178497.0,19342381,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2829929.0,14.96,2182849.0,11.54,17.98,3402612.0,17.59,9.29,11.29
Zimbabwe,225,Africa,249206,5482.0,242417.0,1307.0,12.0,16324,359.0,2287793.0,149863.0,15265849,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",5053114.0,33.48,3510256.0,23.26,59.9,9039729.0,59.22,10.89,22.99
